price,id,name,room_type,accommodates,zipcode,bedrooms,beds,latitude,longitude,cleaning_fee,bathrooms,review_scores_rating,neighbourhood_cleansed,number_of_reviews,security_deposit,host_listings_count,neighbourhood
119.0,27832008,Private 1BR with Private Bathroom feet from subway,Entire home/apt,6,10032,1.0,3.0,40.83004897477671,-73.9399248412233,120.0,1.0,90.0,Harlem,2,500.0,1.0,Harlem
225.0,27832135,Huge Room for Nightly Stays Downtown or Monthly,Entire home/apt,2,10013,1.0,1.0,40.7180999631456,-74.0099948028572,150.0,1.0,100.0,Tribeca,1,500.0,2.0,Tribeca
85.0,27832695,Plant Palace of Williamsburg,Private room,1,11249,1.0,1.0,40.71088334757489,-73.96740058578071,100.0,1.0,100.0,Williamsburg,3,200.0,1.0,Williamsburg
66.0,27834075,Private Brooklyn bungalow with grassy yard,Private room,2,11221,1.0,1.0,40.69355468128869,-73.92683668681406,20.0,1.0,100.0,Bushwick,10,0.0,1.0,Bushwick
245.0,27835048,Perfect location! Times Square 3BR Loft,Entire home/apt,8,10018,3.0,4.0,40.75541465334168,-73.9947233611622,165.0,1.0,100.0,Hell's Kitchen,2,300.0,1.0,Hell's Kitchen
90.0,27835751,Private Room in Manhattan Apartment,Private room,2,10025,1.0,1.0,40.80419464601566,-73.96495968302692,0.0,1.0,90.0,Morningside Heights,4,0.0,1.0,Morningside Heights
799.0,27835803,Chelsea Loft,Entire home/apt,8,10001,4.0,4.0,40.74587072420249,-73.99355668769711,169.0,2.5,100.0,Chelsea,4,250.0,1.0,Chelsea
125.0,27836864,The Buchanan’s,Entire home/apt,4,11412,2.0,2.0,40.700462139777656,-73.74833933082692,75.0,1.0,100.0,St. Albans,3,0.0,1.0,St. Albans
149.0,27837862,"Looks like hotel, feels like home. 20m to Times Sq",Entire home/apt,6,11103,1.0,2.0,40.76147568694967,-73.91230507540061,75.0,1.0,100.0,Astoria,3,0.0,2.0,Astoria
151.0,27839014,NYC-Astoria-2 Bed. Apt. 15 Min.to Manhattan!,Entire home/apt,6,11105,2.0,2.0,40.77504862494559,-73.90820122360456,60.0,1.0,20.0,Ditmars Steinway,1,300.0,3.0,Ditmars Steinway
134.0,27839085,Exquisite penthouse close to Central Park,Entire home/apt,2,10021,1.0,1.0,40.76990003903692,-73.9628928066997,120.0,1.0,100.0,Upper East Side,3,200.0,1.0,Upper East Side
65.0,27840206,The Art Lodge,Private room,2,11378,1.0,2.0,40.719071405992985,-73.91197378596038,30.0,1.0,100.0,Maspeth,1,150.0,2.0,Maspeth
80.0,27840650,Large bedroom ensuite,Private room,2,11208,1.0,1.0,40.671544542738225,-73.87912936683351,50.0,1.0,100.0,East New York,1,500.0,1.0,East New York
150.0,27846079,Art Gallery apartment in a Queens’ Victorian house,Entire home/apt,3,11421,3.0,3.0,40.69508490535513,-73.86031507791789,100.0,1.0,100.0,Woodhaven,1,0.0,1.0,Woodhaven
